Type,id,elec_can_expand,elec_can_retire,elec_constraints--MaxCapacityConstraint,max_capacity,location,fixed_om_cost,investment_cost,availability--timeseries--path,availability--timeseries--header,existing_capacity,capacity_size
VRE,MIDAT_landbasedwind_class4_moderate_70_4,true,false,true,94297.0,MIDAT,26256.10757,78783.27929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_4,,
VRE,MIDAT_landbasedwind_class4_moderate_70_5,true,false,true,78586.0,MIDAT,26256.10757,79963.75929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_5,,
VRE,MIDAT_landbasedwind_class4_moderate_70_6,true,false,true,86257.0,MIDAT,26256.10757,79696.07929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_6,,
VRE,MIDAT_landbasedwind_class4_moderate_70_7,true,false,true,42063.0,MIDAT,26256.10757,82433.35929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_7,,
VRE,NE_landbasedwind_class4_moderate_70_1,true,false,true,6841.0,NE,26256.10757,90411.84793,system/availability.csv,NE_landbasedwind_class4_moderate_70_1,,
VRE,NE_landbasedwind_class4_moderate_70_2,true,false,true,10960.0,NE,26256.10757,91172.32793,system/availability.csv,NE_landbasedwind_class4_moderate_70_2,,
VRE,NE_landbasedwind_class4_moderate_70_3,true,false,true,65324.0,NE,26256.10757,102114.7279,system/availability.csv,NE_landbasedwind_class4_moderate_70_3,,
VRE,NE_landbasedwind_class4_moderate_70_4,true,false,true,17702.0,NE,26256.10757,97037.76793,system/availability.csv,NE_landbasedwind_class4_moderate_70_4,,
VRE,NE_landbasedwind_class4_moderate_70_5,true,false,true,90535.0,NE,26256.10757,95103.52793,system/availability.csv,NE_landbasedwind_class4_moderate_70_5,,
VRE,NE_landbasedwind_class4_moderate_70_6,true,false,true,1111.0,NE,26256.10757,91036.80793,system/availability.csv,NE_landbasedwind_class4_moderate_70_6,,
VRE,NE_landbasedwind_class4_moderate_70_7,true,false,true,13217.0,NE,26256.10757,101355.3679,system/availability.csv,NE_landbasedwind_class4_moderate_70_7,,
VRE,existing_solar_MIDAT,false,true,,,MIDAT,22887.0,,system/availability.csv,MIDAT_solar_photovoltaic_1,2974.6,10.578
VRE,existing_solar_SE,false,true,,,SE,22887.0,,system/availability.csv,SE_solar_photovoltaic_1,8502.2,17.142
VRE,existing_solar_NE,false,true,,,NE,22887.0,,system/availability.csv,NE_solar_photovoltaic_1,1629.6,3.63
VRE,existing_wind_NE,false,true,,,NE,43000.0,,system/availability.csv,NE_onshore_wind_turbine_1,3654.5,86.17
VRE,existing_wind_MIDAT,false,true,,,MIDAT,43000.0,,system/availability.csv,MIDAT_onshore_wind_turbine_1,3231.6,161.2
