Type,id,storage_charge_discharge_ratio,discharge_constraints--MaxCapacityConstraint,discharge_constraints--CapacityConstraint,storage_max_duration,discharge_can_retire,charge_constraints--CapacityConstraint,storage_capacity_size,storage_can_retire,storage_long_duration,charge_capacity_size,storage_constraints--StorageMinDurationConstraint,storage_constraints--StorageCapacityConstraint,storage_constraints--StorageMaxDurationConstraint,storage_constraints--StorageChargeDischargeRatioConstraint,storage_constraints--BalanceConstraint,discharge_capacity_size,storage_min_duration,storage_commodity,discharge_max_capacity,charge_can_retire,location,edges--discharge_edge--investment_cost,edges--external_discharge_edge--end_vertex,transforms--charge_electricity_consumption,transforms--discharge_electricity_consumption
GasStorage,h2_SE_to_MIDAT,1,true,true,1,false,true,787.8,false,true,787.8,true,true,true,true,true,787.8,1,Hydrogen,787800,false,SE,92580.5925294,h2_MIDAT,0.067740938,0
GasStorage,h2_MIDAT_to_SE,1,true,true,1,false,true,787.8,false,true,787.8,true,true,true,true,true,787.8,1,Hydrogen,787800,false,MIDAT,92580.5925294,h2_SE,0.067740938,0
GasStorage,h2_NE_to_MIDAT,1,true,true,1,false,true,787.8,false,true,787.8,true,true,true,true,true,787.8,1,Hydrogen,787800,false,NE,89461.90456,h2_MIDAT,0.065554656,0
GasStorage,h2_MIDAT_to_NE,1,true,true,1,false,true,787.8,false,true,787.8,true,true,true,true,true,787.8,1,Hydrogen,787800,false,MIDAT,89461.90456,h2_NE,0.065554656,0
