Type,id,transmission_constraints--MaxCapacityConstraint,max_capacity,transmission_origin,loss_fraction,existing_capacity,investment_cost,commodity,distance,transmission_dest
TransmissionLink,SE_to_MIDAT,true,27760,elec_SE,0.04914512,5552,40219,Electricity,491.4512001,elec_MIDAT
TransmissionLink,MIDAT_to_NE,true,9575,elec_MIDAT,0.047366255,1915,62316,Electricity,473.6625536,elec_NE
