Type,id,storage_charge_discharge_ratio,discharge_constraints--MaxCapacityConstraint,discharge_constraints--CapacityConstraint,storage_max_duration,discharge_can_retire,charge_constraints--CapacityConstraint,storage_capacity_size,storage_can_retire,storage_long_duration,charge_capacity_size,storage_constraints--StorageMinDurationConstraint,storage_constraints--StorageCapacityConstraint,storage_constraints--StorageMaxDurationConstraint,storage_constraints--StorageChargeDischargeRatioConstraint,storage_constraints--BalanceConstraint,discharge_capacity_size,storage_min_duration,storage_commodity,discharge_max_capacity,charge_can_retire,location,external_discharge_end_vertex,discharge_investment_cost,charge_electricity_consumption,discharge_electricity_consumption
GasStorage,h2_SE_to_MIDAT,1,true,true,1,false,true,787.8,false,false,787.8,true,true,true,true,true,787.8,1,Hydrogen,787800,false,SE,h2_MIDAT,92580.5925294,0.067740938,0
GasStorage,h2_MIDAT_to_SE,1,true,true,1,false,true,787.8,false,false,787.8,true,true,true,true,true,787.8,1,Hydrogen,787800,false,MIDAT,h2_SE,92580.5925294,0.067740938,0
GasStorage,h2_NE_to_MIDAT,1,true,true,1,false,true,787.8,false,false,787.8,true,true,true,true,true,787.8,1,Hydrogen,787800,false,NE,h2_MIDAT,89461.90456,0.065554656,0
GasStorage,h2_MIDAT_to_NE,1,true,true,1,false,true,787.8,false,false,787.8,true,true,true,true,true,787.8,1,Hydrogen,787800,false,MIDAT,h2_NE,89461.90456,0.065554656,0
