Type,id,min_down_time,fuel_consumption,fixed_om_cost,fuel_commodity,min_up_time,electricity_consumption,capacity_size,ramp_down_fraction,co2_sink,h2_constraints--MinFlowConstraint,h2_constraints--MinDownTimeConstraint,h2_constraints--CapacityConstraint,h2_constraints--MinUpTimeConstraint,h2_constraints--RampingLimitConstraint,emission_rate,variable_om_cost,investment_cost,ramp_up_fraction,min_flow_fraction,uc,startup_cost,location,availability--timeseries--path,availability--timeseries--header
ThermalHydrogen,SE_Large_SMR_Non_CCS,3,1.3009661455954666,13685.61723,NaturalGas,3,0.016404,1082.95,0.5,co2_sink,true,true,true,true,true,0.181048235160161,2.250837989,29902.10236,0.5,0.85,true,0.126968004,SE,system/availability.csv,SE_Large_SMR_Non_CCS
ThermalHydrogen,MIDAT_Large_SMR_Non_CCS,3,1.3009661455954666,13685.61723,NaturalGas,3,0.016404,1082.95,0.5,co2_sink,true,true,true,true,true,0.181048235160161,2.250837989,29902.10236,0.5,0.85,true,0.126968004,MIDAT,system/availability.csv,MIDAT_Large_SMR_Non_CCS
ThermalHydrogen,NE_Large_SMR_Non_CCS,3,1.3009661455954666,13685.61723,NaturalGas,3,0.016404,1082.95,0.5,co2_sink,true,true,true,true,true,0.181048235160161,2.250837989,29902.10236,0.5,0.85,true,0.126968004,NE,system/availability.csv,NE_Large_SMR_Non_CCS
