Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
49,106395.7525,74461.50914,39989.94167,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
50,108245.745,74553.29717,39746.21535,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
51,111515.0066,75925.01828,40400.11524,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
52,116265.0692,78274.79183,41441.40129,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
53,126314.9467,86251.1716,45911.69876,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
54,157792.0548,111589.7671,61841.09653,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
55,175827.9687,124754.2102,69677.98771,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
56,172852.2447,120885.8547,67192.17735,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
57,159872.0355,111415.3698,62296.84494,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
58,155829.0857,112185.3694,62700.08321,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
59,153798.5323,112003.8331,62518.77461,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
60,152046.3856,110681.0656,61822.27214,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
61,149949.2567,109544.9338,61204.03951,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
62,148315.1303,108290.4973,60432.23948,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
63,151979.8101,112144.5747,63140.97026,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
64,161113.7698,119101.0875,68185.90704,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
65,173893.2437,128749.0293,74981.51217,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
66,170778.3163,121015.3778,70920.39751,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
67,151213.1829,106473.0944,62937.86499,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
68,138318.7149,102137.6398,60271.73678,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
69,127805.8349,93166.88968,53506.84513,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
70,116512.2056,85823.84732,49230.73611,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
71,106484.5199,79508.83089,45984.02405,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
72,101746.562,84332.80178,48104.24493,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
73,100641.0048,84247.13295,47557.34683,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
74,102514.1979,85419.97999,47701.99742,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
75,106136.5115,87858.48198,48709.59771,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
76,111251.7307,91271.97681,50189.78929,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
77,121710.1398,100522.1704,55518.08269,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
78,151978.8014,131870.8421,74975.56763,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
79,170517.0578,143864.478,84777.13076,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
80,169374.178,138992.5734,81833.59047,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
81,157964.5459,129286.4992,75589.83722,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
82,154732.607,130597.0283,76023.78897,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
