Type,id,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageChargeDischargeRatioConstraint,storage--constraints--BalanceConstraint,storage--can_retire,storage--charge_discharge_ratio,storage--min_duration,storage--commodity,storage--capacity_size,storage--can_expand,storage--long_duration,storage--max_duration,edges--external_charge_edge--type,edges--external_charge_edge--unidirectional,edges--external_charge_edge--has_capacity,edges--charge_elec_edge--type,edges--charge_elec_edge--unidirectional,edges--charge_elec_edge--has_capacity,edges--discharge_edge--max_capacity,edges--discharge_edge--constraints--MaxCapacityConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--can_retire,edges--discharge_edge--type,edges--discharge_edge--unidirectional,edges--discharge_edge--capacity_size,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,edges--charge_edge--constraints--CapacityConstraint,edges--charge_edge--can_retire,edges--charge_edge--type,edges--charge_edge--unidirectional,edges--charge_edge--capacity_size,edges--charge_edge--can_expand,edges--charge_edge--has_capacity,edges--external_discharge_edge--type,edges--external_discharge_edge--unidirectional,edges--external_discharge_edge--has_capacity,edges--discharge_elec_edge--type,edges--discharge_elec_edge--unidirectional,edges--discharge_elec_edge--has_capacity,transforms--timedata,edges--external_charge_edge--start_vertex,edges--charge_elec_edge--start_vertex,edges--discharge_edge--investment_cost,edges--external_discharge_edge--end_vertex,edges--discharge_elec_edge--start_vertex,transforms--charge_electricity_consumption,transforms--discharge_electricity_consumption
GasStorage,h2_SE_to_MIDAT,true,true,true,true,true,false,1,1,Hydrogen,787.8,true,true,1,Hydrogen,true,false,Electricity,true,false,787800,true,true,false,Hydrogen,true,787.8,true,true,true,false,Hydrogen,true,787.8,true,true,Hydrogen,true,false,Electricity,true,false,Hydrogen,h2_SE,elec_SE,92580.5925294,h2_MIDAT,elec_MIDAT,0.067740938,0
GasStorage,h2_MIDAT_to_SE,true,true,true,true,true,false,1,1,Hydrogen,787.8,true,true,1,Hydrogen,true,false,Electricity,true,false,787800,true,true,false,Hydrogen,true,787.8,true,true,true,false,Hydrogen,true,787.8,true,true,Hydrogen,true,false,Electricity,true,false,Hydrogen,h2_MIDAT,elec_MIDAT,92580.5925294,h2_SE,elec_SE,0.067740938,0
GasStorage,h2_MIDAT_to_NE,true,true,true,true,true,false,1,1,Hydrogen,787.8,true,true,1,Hydrogen,true,false,Electricity,true,false,787800,true,true,false,Hydrogen,true,787.8,true,true,true,false,Hydrogen,true,787.8,true,true,Hydrogen,true,false,Electricity,true,false,Hydrogen,h2_MIDAT,elec_MIDAT,89461.90456,h2_NE,elec_NE,0.065554656,0
GasStorage,h2_NE_to_MIDAT,true,true,true,true,true,false,1,1,Hydrogen,787.8,true,true,1,Hydrogen,true,false,Electricity,true,false,787800,true,true,false,Hydrogen,true,787.8,true,true,true,false,Hydrogen,true,787.8,true,true,Hydrogen,true,false,Electricity,true,false,Hydrogen,h2_NE,elec_NE,89461.90456,h2_MIDAT,elec_MIDAT,0.065554656,0
