Type,id,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--fixed_om_cost,edges--elec_edge--availability--timeseries--path,edges--elec_edge--availability--timeseries--header,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate
ThermalPower,SE_CCGT-H2,true,true,true,true,true,true,true,Electricity,true,true,true,true,Hydrogen,false,co2_sink,true,CO2,false,true,Hydrogen,false,4,27800,system/availability.csv,SE_CCGT-H2,0,4,573,1,elec_SE,1.85,62275.58,1,0.3,61,h2_SE,1.8193594399283899,0
ThermalPower,MIDAT_CCGT-H2,true,true,true,true,true,true,true,Electricity,true,true,true,true,Hydrogen,false,co2_sink,true,CO2,false,true,Hydrogen,false,4,27800,system/availability.csv,MIDAT_CCGT-H2,0,4,573,1,elec_MIDAT,1.85,62275.58,1,0.3,61,h2_MIDAT,1.8193594399283899,0
ThermalPower,NE_CCGT-H2,true,true,true,true,true,true,true,Electricity,true,true,true,true,Hydrogen,false,co2_sink,true,CO2,false,true,Hydrogen,false,4,27800,system/availability.csv,NE_CCGT-H2,0,4,573,1,elec_NE,1.85,62275.58,1,0.3,61,h2_NE,1.8193594399283899,0
