Type,id,edges--transmission_edge--integer_decisions,edges--transmission_edge--can_retire,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--unidirectional,edges--transmission_edge--commodity,edges--transmission_edge--can_expand,edges--transmission_edge--has_capacity,edges--transmission_edge--max_capacity,edges--transmission_edge--loss_fraction,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--start_vertex,edges--transmission_edge--distance,edges--transmission_edge--end_vertex
TransmissionLink,SE_to_MIDAT,false,false,true,true,false,Electricity,true,true,27760,0.04914512,5552,40219,elec_SE,491.4512001,elec_MIDAT
TransmissionLink,MIDAT_to_NE,false,false,true,true,false,Electricity,true,true,9575,0.047366255,1915,62316,elec_MIDAT,473.6625536,elec_NE
