Type,id,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,edges--fossil_fuel_edge--unidirectional,edges--fossil_fuel_edge--commodity,edges--fossil_fuel_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--emission_rate,transforms--timedata,edges--fuel_edge--end_vertex,edges--fossil_fuel_edge--start_vertex
FossilFuelsUpstream,SE_Gasoline_Fossil_Upstream,true,Gasoline,false,co2_sink,true,CO2,false,true,Fossil_Gasoline,false,true,0,LiquidFuels,gasoline_SE,gasoline_fossil_SE
FossilFuelsUpstream,MIDAT_Gasoline_Fossil_Upstream,true,Gasoline,false,co2_sink,true,CO2,false,true,Fossil_Gasoline,false,true,0,LiquidFuels,gasoline_MIDAT,gasoline_fossil_MIDAT
FossilFuelsUpstream,NE_Gasoline_Fossil_Upstream,true,Gasoline,false,co2_sink,true,CO2,false,true,Fossil_Gasoline,false,true,0,LiquidFuels,gasoline_NE,gasoline_fossil_NE
FossilFuelsUpstream,SE_JetFuel_Fossil_Upstream,true,JetFuel,false,co2_sink,true,CO2,false,true,Fossil_JetFuel,false,true,0,LiquidFuels,jetfuel_SE,jetfuel_fossil_SE
FossilFuelsUpstream,MIDAT_JetFuel_Fossil_Upstream,true,JetFuel,false,co2_sink,true,CO2,false,true,Fossil_JetFuel,false,true,0,LiquidFuels,jetfuel_MIDAT,jetfuel_fossil_MIDAT
FossilFuelsUpstream,NE_JetFuel_Fossil_Upstream,true,JetFuel,false,co2_sink,true,CO2,false,true,Fossil_JetFuel,false,true,0,LiquidFuels,jetfuel_NE,jetfuel_fossil_NE
FossilFuelsUpstream,SE_Diesel_Fossil_Upstream,true,Diesel,false,co2_sink,true,CO2,false,true,Fossil_Diesel,false,true,0,LiquidFuels,diesel_SE,diesel_fossil_SE
FossilFuelsUpstream,MIDAT_Diesel_Fossil_Upstream,true,Diesel,false,co2_sink,true,CO2,false,true,Fossil_Diesel,false,true,0,LiquidFuels,diesel_MIDAT,diesel_fossil_MIDAT
FossilFuelsUpstream,NE_Diesel_Fossil_Upstream,true,Diesel,false,co2_sink,true,CO2,false,true,Fossil_Diesel,false,true,0,LiquidFuels,diesel_NE,diesel_fossil_NE
