time,MA_battery_discharge_edge,MA_battery_charge_edge,CT_battery_discharge_edge,CT_battery_charge_edge,ME_battery_discharge_edge,ME_battery_charge_edge,MA_natural_gas_combined_cycle_elec_edge,MA_natural_gas_combined_cycle_fuel_edge,MA_natural_gas_combined_cycle_co2_edge,CT_natural_gas_combined_cycle_elec_edge,CT_natural_gas_combined_cycle_fuel_edge,CT_natural_gas_combined_cycle_co2_edge,ME_natural_gas_combined_cycle_elec_edge,ME_natural_gas_combined_cycle_fuel_edge,ME_natural_gas_combined_cycle_co2_edge,MA_to_CT_transmission_edge,MA_to_ME_transmission_edge,MA_solar_pv_edge,CT_onshore_wind_edge,CT_solar_pv_edge,ME_onshore_wind_edge
13,245.53126924457487,0.0,0.0,0.0,0.0,0.0,449.93218670025044,979.7354578607584,177.37937556952258,5545.110466941165,11570.793579640285,2094.8717569963956,0.12639704199722648,0.4674866522481817,0.0846376333504652,-4499.617486660982,1118.7347105061049,4686.025327253497,766.851090230681,674.6559294891357,90.12633328577407
14,0.0,0.0,0.0,0.0,0.0,887.831850846396,449.9321867002502,979.735457860758,177.37937556952252,4484.1898720148565,9357.006625986845,1694.069536016851,0.12639704199722648,0.4674866522481817,0.0846376333504652,-5712.542093668188,1961.0025303687569,4498.825861860638,3013.4290879394025,678.9231337139291,141.24416713412205
15,0.0,0.0,0.0,0.0,0.0,616.722645064009,555.1520130002498,1340.6350975708767,242.71961840897748,4823.125621350667,10064.252336546822,1822.1151237383287,0.12639704199722648,0.4674866522481817,0.0846376333504652,-5829.537652587345,1552.9479706688517,3783.9956452193587,2885.1105524369277,561.3014787997512,259.169679167646
16,0.0,0.0,0.0,0.0,223.34243831373524,0.0,555.1520130002493,1208.8535288573926,218.86079796676367,4582.068627664161,9561.246899323527,1731.046877053086,0.12639704199722648,0.4674866522481817,0.0846376333504652,-5900.0,287.811405005715,2499.2638303054655,3403.3105766094523,368.6207957263863,665.3763609573898
17,870.9198332228244,0.0,638.6439972464012,0.0,887.8318508463968,0.0,1186.2222500005337,2583.0203608063966,467.6512777067604,5545.110466941165,11570.793579640285,2094.8717569963956,0.12639704199722648,0.4674866522481817,0.0846376333504652,-5900.0,-1083.1452585976724,484.60506767022304,2292.389789348859,116.85574646357394,1481.1870107092784
18,870.9198332228244,0.0,0.0,405.6453359196362,162.28063617843537,0.0,1186.2222500005337,2583.0203608063966,467.6512777067604,1996.2397680988192,4165.485688670502,754.1538325187022,0.1263970419972265,0.4674866522481818,0.08463763335046523,-5900.0,-2387.383627624274,-0.0,7229.405567820817,-0.0,3618.9765944038413
19,190.77378185249805,0.0,51.970174937175784,0.0,2.6147972675971688e-14,0.0,427.0400100001925,929.8873298903036,168.3544599744339,381.44682749000674,795.952132749884,144.10572890633267,0.08089410687822499,0.2991914574388364,0.054168085344297755,-5900.0,-3794.3645059086684,-0.0,8369.582997572817,-0.0,5180.28361180179
20,-0.0,0.0,291.36803738520445,0.0,0.0,-0.0,105.21982629999957,229.11807099663574,41.48142239724137,612.2401840698581,1277.5407871975335,231.29650486723625,-0.0,-0.0,-0.0,-5900.0,-4000.0,-0.0,7811.391778544938,-0.0,5343.0
21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,722.2661822295986,1507.1282986980052,272.8629186392098,0.0,-0.0,-0.0,-5637.995643394321,-4000.0,-0.0,7625.729461164722,-0.0,5294.0
22,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-5696.593517937055,-3422.778600274605,-0.0,8261.593517937055,-0.0,4647.778600274605
23,0.0,870.9198332228244,0.0,396.6363818919998,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-5817.8920017367855,-3547.3407545906034,-0.0,8599.528383628785,-0.0,4686.340754590603
24,0.0,465.2150869651018,0.0,163.27958584898425,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-4244.057150477563,-4000.0,-0.0,6591.336736326547,-0.0,5042.0
25,870.9198332228244,0.0,473.91287509596896,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-2286.8369981216297,-4000.0,-0.0,3825.9241230256607,-0.0,4961.0
26,259.9847632242363,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-2538.873589329659,-4000.0,-0.0,4448.873589329659,-0.0,4912.0
27,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5389.622959796163,-1215.5919194376092,-0.0,7250.622959796163,-0.0,2103.5919194376092
28,0.0,-0.0,0.0,108.98512846627847,0.0,0.0,-0.0,-0.0,-0.0,242.78194618026765,927.6247467016155,167.94482328121887,-0.0,-0.0,-0.0,-5900.0,-661.6075723000259,-0.0,7615.203182286011,-0.0,1544.6075723000258
29,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,811.2759576220899,2678.7149203732,484.97660883075906,0.0,-0.0,-0.0,-4536.81699637818,-2179.854868138682,-0.0,5615.5410387560905,-0.0,3081.854868138682
30,0.0,870.9198332228244,0.0,6.9124589357149375,0.0,-0.0,-0.0,-0.0,-0.0,811.2759576220899,1692.8619723149334,306.489672457368,0.0,-0.0,-0.0,-4861.493769504508,-3110.381781262882,-0.0,6050.130270818133,-0.0,4061.381781262882
31,0.0,158.04972398750678,0.0,638.6439972464011,0.0,-0.0,-0.0,-0.0,-0.0,864.0809016093265,1803.0482545366153,326.43870439246297,0.0,-0.0,-0.0,-4664.348807549761,-3135.72876597456,-0.0,6586.911903186836,-0.0,4160.72876597456
32,870.9198332228244,0.0,638.6439972464012,0.0,0.0,0.0,0.0,-0.0,-0.0,2400.2247266925738,5008.4673737128205,906.7741788679526,0.0,-0.0,-0.0,-3215.2620454204057,-4000.0,-0.0,2451.3933214814306,-0.0,5086.0
33,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,864.0809016093265,1803.0482545366153,326.43870439246297,0.0,-0.0,-0.0,-4397.064923684446,-3021.694067013177,1207.7384864055405,5787.278000971493,176.70602110362537,4182.694067013177
34,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,568.4940114418223,1186.2571353395513,214.769760799374,0.0,-0.0,-0.0,-5900.0,-677.8963682189957,2580.031341583836,7456.0677421403725,466.4382464178049,1913.8963682189956
35,0.0,83.34617712514773,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-5900.0,-0.0,3737.9506154251476,7984.331690222499,623.6683097775012,1292.0
36,0.0,445.2414380355785,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-5900.0,-0.0,4267.845876335578,7945.7687747407435,709.2312252592568,1316.0
37,0.0,798.4237933514665,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-5900.0,-299.5339939174351,4312.381233021783,7960.150577555238,690.8494224447619,1612.533993917435
38,0.0,870.9198332228244,0.0,468.38028789876154,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-5900.0,-539.441264220554,4086.6851033747475,8510.551886567795,591.8284013309658,1844.4412642205539
39,0.0,870.9198332228244,0.0,638.6439972464012,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-5900.0,-1076.3072871961674,3530.3705630741956,8795.673933927388,467.97006331901287,2377.3072871961676
40,0.0,870.9198332228244,0.0,164.98831459689046,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-5900.0,-2366.848839554499,2410.1931169330564,8458.756807603371,372.2315069935192,3687.848839554499
41,0.0,0.0,0.0,0.0,0.0,-0.0,322.30799750778306,1105.5030621757378,200.14937837107107,730.9855734224138,2792.9601770513095,505.6605109277504,0.0,-0.0,-0.0,-5664.9178829122475,-4000.0,757.1010636654731,7817.582753170443,142.34955631939107,5444.0
42,870.9198332228244,0.0,-0.0,0.0,0.0,-0.0,895.2999930771753,2070.6333691532404,374.88451714893233,3023.762491040694,7399.00892070882,1339.5775070286195,0.0,-0.0,0.0,-5900.0,-4000.0,-0.0,6165.237508959306,-0.0,5570.0
43,870.9198332228244,0.0,437.98746717527274,0.0,0.0,-0.0,794.2999930771753,1729.602572119854,313.1414932107746,4021.31794173985,8391.147498210776,1519.202445519661,0.0,-0.0,-0.0,-5900.0,-4000.0,-0.0,4700.694591084877,-0.0,5556.0
44,870.9198332228244,0.0,638.6439972464012,0.0,0.0,-0.0,895.2999930771753,1949.531895179954,352.9593090107747,6477.790969864924,14956.828648673025,2707.907430435187,0.0,-0.0,-0.0,-5518.302897675422,-4000.0,-0.0,1582.8679305640972,-0.0,5519.0
45,520.2194295398815,0.0,0.0,0.0,0.0,-0.0,419.000396760118,912.3809269442185,165.18495661704253,4882.606142827509,10188.368319469258,1844.5861034016045,0.0,-0.0,0.0,-5900.0,-4000.0,-0.0,4069.393857172491,-0.0,5457.0
46,0.0,0.0,0.0,0.0,0.0,-0.0,419.000396760118,912.3809269442185,165.18495661704253,3470.5326878670576,7241.842625518602,1311.1228266577696,0.0,-0.0,-0.0,-5708.86738270608,-4000.0,-0.0,5088.334694839023,-0.0,5360.0
