Period_Index,Rep_Period,Rep_Period_Index
1,6,1
2,6,1
3,6,1
4,6,1
5,6,1
6,6,1
7,6,1
8,6,1
9,6,1
10,17,2
11,6,1
12,17,2
13,17,2
14,17,2
15,17,2
16,17,2
17,17,2
18,17,2
19,17,2
20,17,2
21,17,2
22,17,2
23,17,2
24,32,3
25,32,3
26,32,3
27,32,3
28,32,3
29,32,3
30,32,3
31,32,3
32,32,3
33,32,3
34,32,3
35,32,3
36,32,3
37,32,3
38,32,3
39,32,3
40,32,3
41,32,3
42,6,1
43,6,1
44,6,1
45,6,1
46,6,1
47,6,1
48,6,1
49,6,1
50,6,1
51,6,1
52,6,1
