Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_Zero
112,131776,102638,38084,31937.18,30440.74,15988.28,0
113,132652,103914,39118,31937.18,30440.74,15988.28,0
114,137177,109090,42118,31937.18,30440.74,15988.28,0
115,148805,116011,43673,31937.18,30440.74,15988.28,0
116,154427,116704,42907,31937.18,30440.74,15988.28,0
117,153606,115395,41300,31937.18,30440.74,15988.28,0
118,149681,111641,38885,31937.18,30440.74,15988.28,0
119,141993,105461,35620,31937.18,30440.74,15988.28,0
120,133624,98688,32665,31937.18,30440.74,15988.28,0
121,127318,94091,30712,31937.18,30440.74,15988.28,0
122,124292,91779,29645,31937.18,30440.74,15988.28,0
123,123538,91027,29126,31937.18,30440.74,15988.28,0
124,124053,91187,29050,31937.18,30440.74,15988.28,0
125,126762,93453,29757,31937.18,30440.74,15988.28,0
126,134356,99584,32095,31937.18,30440.74,15988.28,0
127,148840,110134,36660,31937.18,30440.74,15988.28,0
128,157405,115778,39243,31937.18,30440.74,15988.28,0
129,155385,114730,39723,31937.18,30440.74,15988.28,0
130,152813,112561,39731,31937.18,30440.74,15988.28,0
131,150378,110820,39668,31937.18,30440.74,15988.28,0
132,147596,109208,39358,31937.18,30440.74,15988.28,0
133,145066,107546,38822,31937.18,30440.74,15988.28,0
134,143059,106595,38500,31937.18,30440.74,15988.28,0
135,141235,105893,38078,31937.18,30440.74,15988.28,0
136,140236,105853,38062,31937.18,30440.74,15988.28,0
137,140896,107775,39125,31937.18,30440.74,15988.28,0
138,143756,111722,41771,31937.18,30440.74,15988.28,0
139,150593,114696,42463,31937.18,30440.74,15988.28,0
140,150348,113179,41149,31937.18,30440.74,15988.28,0
141,146566,110728,39464,31937.18,30440.74,15988.28,0
142,141634,107215,37470,31937.18,30440.74,15988.28,0
143,135085,102236,34963,31937.18,30440.74,15988.28,0
144,127236,96226,32256,31937.18,30440.74,15988.28,0
145,120480,91568,30191,31937.18,30440.74,15988.28,0
146,115775,89038,28944,31937.18,30440.74,15988.28,0
147,113871,87868,28194,31937.18,30440.74,15988.28,0
148,113553,87635,27868,31937.18,30440.74,15988.28,0
