Demand_MW_z1
108217
105797
103262
101779
101506
102712
105603
108719
113294
116022
115901
115374
115827
115552
114368
112969
113156
118123
126673
126460
124246
120588
115874
109796
104335
101318
100559
101614
104368
110155
119334
126404
131988
136642
139301
139542
138143
135838
133702
132968
135937
147351
160162
162815
161906
158311
151962
145158
140585
138955
139027
141503
146348
156901
173144
183960
184175
181436
177896
173188
167667
162718
158557
156619
159702
172920
190552
195464
195905
192350
185262
177743
172940
171628
172454
174542
179240
189386
204604
213023
207678
195542
182753
170965
160886
152984
146634
143657
145527
156397
171513
174731
174353
170450
162623
153886
147603
145864
145574
147441
151578
161486
178259
186863
181220
169115
157110
147658
140356
135497
131391
128819
129898
137862
151104
153842
153444
149867
143118
135583
130406
128328
128517
130129
134603
144249
160790
170327
165797
156023
146273
138551
132827
129017
125620
123198
123115
128605
138475
137629
135331
132067
127095
119980
114161
110388
108471
107781
108842
111939
117165
122809
127409
129304
128053
125617
122980
120091
117791
116745
116919
121744
130550
129160
125976
121936
116797
110170
104337
100884
99237
98973
100058
102709
107571
113698
120356
123336
122726
120597
120152
119939
119102
118320
119957
125497
134113
133330
130945
125919
117802
109380
102513
98931
97609
97730
100439
108464
123706
133848
133399
133395
134354
134774
134291
133713
132567
131956
132995
138097
146456
146070
141362
133704
125226
115747
108540
103975
101821
101451
103679
111031
125520
134747
134281
133752
133895
133092
132397
131641
131192
130497
131896
138146
146175
145603
141645
135308
125074
115120
107832
103079
100599
99653
100794
107544
121302
131062
131480
132060
133492
134224
133883
133105
131961
131496
133305
138633
146916
145775
142120
136579
127725
118073
110866
107171
105512
105566
107933
115887
131079
140772
139748
138360
137999
137375
136880
136582
136391
136726
138953
145560
156528
158223
156506
151549
143592
135095
128942
126760
126842
128195
132248
141877
158016
169105
169655
167667
165395
161376
157010
152780
149135
146731
148422
156118
167095
167719
166218
162190
156388
150193
144740
142352
141992
142976
146173
151352
159436
167639
173116
170598
164166
155834
147974
140994
135800
133152
134375
141511
154186
156129
156019
153959
149829
143901
138950
136884
136300
137452
139773
144226
151024
159359
164929
160076
150320
141251
134723
129585
125108
122899
123753
130766
144271
147444
148714
146595
142798
137805
133756
132336
132220
133422
136562
143136
152547
160497
162090
159037
154461
149309
144680
140415
137408
135283
135454
141196
150310
150341
146785
139757
131097
121612
114006
110178
108514
108875
111631
119396
134732
144017
141576
138165
136458
134880
133327
